periodo_parlamentario,periodo_anual,legislatura,descripcion,clean_link,file_name
Congreso de la República - Periodo Parlamentario 2021 - 2026,Período Anual de Sesiones 2025 - 2026,Segunda Legislatura Ordinaria,Asistencias y votaciones de la sesión del 1-4-2026,https://www2.congreso.gob.pe/Sicr/RelatAgenda/PlenoComiPerm20112016.nsf/Apleno/2A99904C9CB937E005258DCC005F3F96/$FILE/Asistencia_y_votación_sesión_1_4_2026.pdf,afa9d1d3-0be3-542e-8506-c78c078bb01c.pdf
Congreso de la República - Periodo Parlamentario 2021 - 2026,Período Anual de Sesiones,Primera Legislatura Ordinaria,Asistencia de la sesión extraordinaria del 18-2-2026,https://www2.congreso.gob.pe/Sicr/RelatAgenda/PlenoComiPerm20112016.nsf/Apleno/907586BF119A968B05258DA30005E212/$FILE/Asistencia_de_la_sesión_del_18_2_2026.pdf,733d479b-9ea8-50ac-a3d5-358d93a43fcc.pdf
Congreso de la República - Periodo Parlamentario 2021 - 2026,Período Anual de Sesiones,Primera Legislatura Ordinaria,Asistencia y votaciones de la sesión extraordinaria del 17-2-2026,https://www2.congreso.gob.pe/Sicr/RelatAgenda/PlenoComiPerm20112016.nsf/Apleno/081459D0697084D505258DA1007005B2/$FILE/Asistencia_y_votación_sesión_17_2_2026.pdf,7858b9c5-cd31-5bd1-bb72-b4aec3d34875.pdf
Congreso de la República - Periodo Parlamentario 2021 - 2026,Período Anual de Sesiones 2025 - 2026,Primera Legislatura Ordinaria,Asistencia PROVISIONAL de la sesión del 26-11-2025,https://www2.congreso.gob.pe/Sicr/RelatAgenda/PlenoComiPerm20112016.nsf/Apleno/78DED07A01771F1F05258D4E007C081B/$FILE/Asis_y_vot_del_26-11-2025.pdf,8d109880-dacd-51ad-8df6-21d26a7cdc84.pdf
Congreso de la República - Periodo Parlamentario 2021 - 2026,Período Anual de Sesiones 2025 - 2026,Primera Legislatura Ordinaria,Asistencia PROVISIONAL de la sesión del 25-11-2025,https://www2.congreso.gob.pe/Sicr/RelatAgenda/PlenoComiPerm20112016.nsf/Apleno/C95998C23D0C8E5705258D4D007FC991/$FILE/Asis_y_vot_del_25-11-2025.pdf,43d3df91-4f2c-583c-89b8-33d5ed03c29f.pdf
